action,key,timestamp
press,'g',1725102746.5412216
press,'h',1725102746.5578282
release,'g',1725102746.7468293
release,'h',1725102746.7498972
press,'f',1725102746.7498972
press,'j',1725102746.7498972
release,'f',1725102746.949376
press,'m',1725102746.9778974
release,'m',1725102747.1272166
release,'j',1725102747.1389043
press,'g',1725102747.1389043
press,'h',1725102747.1389043
release,'h',1725102747.1876917
press,'v',1725102747.218024
release,'g',1725102747.2434275
release,'v',1725102747.3391275
press,'n',1725102747.5078795
press,Key.space,1725102747.5078795
release,Key.space,1725102747.5685046
press,'l',1725102747.5889187
release,'n',1725102747.6176593
press,'n',1725102747.738324
press,'i',1725102747.7679982
release,'n',1725102747.879051
release,'l',1725102747.879051
press,'y',1725102747.8870652
release,'i',1725102747.9067583
press,'o',1725102747.9879317
release,'y',1725102748.039124
release,'o',1725102748.1384368
press,'y',1725102748.1384368
press,'8',1725102748.1883688
release,'y',1725102748.208619
press,'o',1725102748.208619
release,'o',1725102748.228578
release,'8',1725102748.2523668
press,'y',1725102748.3276951
press,'t',1725102748.3677688
release,'y',1725102748.4709756
press,'e',1725102748.4891763
release,'t',1725102748.5987012
press,'r',1725102748.6087327
press,'q',1725102748.6680202
release,'q',1725102748.767725
press,'w',1725102748.767725
release,'w',1725102748.838124
release,'e',1725102748.86931
release,'r',1725102748.8881898
press,'t',1725102748.8881898
release,'t',1725102748.9269483
press,'g',1725102748.9284682
press,'y',1725102748.9284682
press,'u',1725102748.9329972
release,'y',1725102748.9645178
press,'i',1725102748.9670463
release,'i',1725102748.9779818
release,'g',1725102749.012081
press,'h',1725102749.012081
release,'u',1725102749.027998
release,'h',1725102749.0478592
press,'j',1725102749.0598552
press,'h',1725102749.2380216
release,'j',1725102749.2680361
press,'g',1725102749.2830193
release,'h',1725102749.3078513
release,'g',1725102749.3192835
press,'f',1725102749.3268094
release,'f',1725102749.3537276
press,'c',1725102749.528557
release,'c',1725102749.5667605
press,'v',1725102749.568669
press,'b',1725102749.5879703
release,'v',1725102749.607793
press,'n',1725102749.618686
release,'b',1725102749.64702
press,'m',1725102749.654436
release,'n',1725102749.6878614
press,"','",1725102749.6970456
release,'m',1725102749.7278838
press,'.',1725102749.7278838
release,"','",1725102749.7777383
press,"','",1725102749.8228402
release,'.',1725102750.007868
press,'m',1725102750.0294852
release,"','",1725102750.0477016
release,'m',1725102750.0776708
press,'n',1725102750.087142
press,'b',1725102750.0975971
release,'n',1725102750.1286452
press,Key.space,1725102750.1286452
release,'b',1725102750.1577065
press,'c',1725102750.1681395
press,Key.alt_l,1725102750.1681395
release,'c',1725102750.1885886
release,Key.alt_l,1725102750.1885886
press,Key.cmd,1725102750.2020347
press,'x',1725102750.2076168
release,'x',1725102750.2168841
press,'x',1725102750.2380095
release,Key.cmd,1725102750.2816536
release,Key.space,1725102750.3128693
release,'x',1725102750.3679051
press,'c',1725102750.3785884
release,'c',1725102750.4087174
press,'v',1725102750.416738
release,'v',1725102750.4284809
press,'b',1725102750.4369986
release,'b',1725102750.4483979
press,'n',1725102750.4575682
release,'n',1725102750.4778123
press,'m',1725102750.4778123
release,'m',1725102750.5086675
press,"','",1725102750.5086675
release,"','",1725102750.5379615
press,Key.ctrl_l,1725102763.2886615
press,'\x01',1725102763.7527235
release,'\x01',1725102763.8883693
release,Key.ctrl_l,1725102763.937851
press,Key.delete,1725102764.8745153
release,Key.delete,1725102764.958789
press,Key.cmd,1725102806.3879466
release,Key.cmd,1725102806.5177789
press,'c',1725102807.2571867
release,'c',1725102807.4181373
press,'m',1725102807.7880821
release,'m',1725102807.9075472
press,'d',1725102807.938056
release,'d',1725102808.0481565
press,Key.enter,1725102809.6882784
release,Key.enter,1725102809.8268757
press,'/',1725102813.117547
release,'/',1725102813.238022
press,'d',1725102813.4339526
release,'d',1725102813.6035662
press,'e',1725102813.6591096
release,'e',1725102813.8377357
press,'s',1725102814.0278592
release,'s',1725102814.2276278
press,'k',1725102815.4668062
release,'k',1725102815.578176
press,'t',1725102816.048479
release,'t',1725102816.1878426
press,'o',1725102816.2277474
press,'p',1725102816.3594108
release,'o',1725102816.3869288
release,'p',1725102816.5324004
press,Key.enter,1725102816.7091932
release,Key.enter,1725102816.8585286
press,';',1725102829.722657
press,'l',1725102829.8289902
release,'l',1725102829.9186034
press,'f',1725102829.937828
release,';',1725102829.9501934
release,'f',1725102830.129057
press,Key.backspace,1725102830.4489136
release,Key.backspace,1725102830.552293
press,Key.backspace,1725102830.6479065
release,Key.backspace,1725102830.7636504
press,Key.backspace,1725102830.8482034
release,Key.backspace,1725102830.9582236
press,Key.backspace,1725102831.0579202
release,Key.backspace,1725102831.1549594
press,'z',1725102833.142851
press,'f',1725102833.2076309
release,'z',1725102833.2380805
press,'k',1725102833.3086424
release,'k',1725102833.3595002
press,'j',1725102833.368348
release,'f',1725102833.4386804
release,'j',1725102833.4487565
press,'l',1725102833.4784465
press,'e',1725102833.5195696
release,'e',1725102833.5847485
release,'l',1725102833.695475
press,Key.ctrl_l,1725102833.977838
release,Key.ctrl_l,1725102834.3531032
press,Key.ctrl_l,1725102834.533227
press,'\x03',1725102834.7558389
